"","X.3","sequence","MatchId","F1..fPC1","F1..fPC2","F1..fPC3","F2..fPC1","F2..fPC2","F2..fPC3","Pitch..fPC1","Pitch..fPC2","Pitch..fPC3","Intensity..fPC1","Intensity..fPC2","Intensity..fPC3","Duration..z.scored","PC1","PC2","PC3","PC4","X.2","X.1","X","Corpus","Speaker","category","participant_gender","Before.Match","Text","After.Match","Target.word","Target.orthography","Target.vowelCluster","target_timestamp","Target.vowelCluster.end","joincode","word","word.alt.format","final","stress","moraPosition","complex","Language","participant_language","target_transcript","mean_rate"
"1",1,"oa","g_10;em_12_691;n_31338-n_31339;p_28;#=ew_69_149752;prefix=00484-;[0]=ew_0_6209",0.119496039464415,-0.473238113357966,0.117120542617702,-1.2082213995298,-0.16277053989646,0.0769368871258863,-6.64555660559688,31.0066304985695,-14.1500465483856,3.50174331192339,4.02666834229352,2.52399583344517,2.46479643492808,-1.45378015019602,0.697388972251501,0.202525441623353,-0.620012932617803,56,95,97,"MAONZE","K001M","PresentElder","M","mea","katoa","he","katoa","katoa","oa",44.778,45.118,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","K001M-03.trs",0.0745454545454539
"2",2,"oa","g_10;em_12_698;n_31345-n_31346;p_28;#=ew_69_149835;prefix=00506-;[0]=ew_0_6264",-0.444077422928025,0.4210635204434,0.950628289884872,-2.71183126786139,0.617818716174234,-0.202184160278944,-24.8541294344759,4.7068956662706,-5.67286402197487,5.54983830340985,0.0365345934322879,1.51180193396378,2.59776240046817,-2.38747529611396,0.703168378841028,-0.171101475116197,-1.04413088003871,63,103,105,"MAONZE","K001M","PresentElder","M","mea","katoa","ka:ore","katoa","katoa","oa",70.523,70.873,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","K001M-03.trs",0.0777777777777805
"3",3,"oa","g_10;em_12_725;n_31372-n_31373;p_28;#=ew_69_149957;prefix=00569-;[0]=ew_0_6502",-2.39404774186404,0.190499647926207,-0.322246577861922,-0.65144307397964,-1.06350090992886,-0.0912584024739881,-44.1964631495898,0.150922455764316,-0.732497706108525,-3.02955507530003,-3.33724284462032,-0.618764221587739,-0.726386738032571,1.7913985069604,-0.839004301781779,0.59660284597207,-0.14222377540165,78,123,125,"MAONZE","K001M","PresentElder","M","mea","katoa","hoki","katoa","katoa","oa",164.488,164.588,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","K001M-03.trs",0.0586666666666664
"4",4,"oa","g_100;em_12_162751;n_6281873-n_6281877;p_41;#=ew_69_162582;prefix=13414-;[0]=ew_0_1268796",-0.464348185652796,-0.14870187248852,-0.0949010666430255,-1.00282984878132,-2.18071457345456,-0.571884485506083,6.16671986435115,6.34140727611854,4.27762366843897,0.672938671477748,12.751794782956,2.18962144136951,0.0714090552076382,-0.661561455539991,-1.92141260106237,1.14486103885022,-0.479529657334584,1871,3040,3111,"MAONZE","K007M","PresentElder","M","peka","ahakoa","pe:hea","ahakoa","ahakoa","oa",29.869,30.029,"ahakoa oa","ahakoa","ahakoa",TRUE,"no",3,"no","M","M","K007M-05.trs",0.0521739130434781
"5",5,"oa","g_100;em_12_6973;n_742-n_36819;p_41;#=ew_69_162558;prefix=13265-;[0]=ew_0_68319",-2.17329099682094,-0.930260954329477,-0.0795484760814208,0.0881170763116357,-0.437007968690045,0.464686930698983,20.5893530463805,-8.94310423509971,-0.0815971050546863,6.6873195928482,-5.69055413665531,-0.518767868665351,-0.194522875872412,1.7680347983121,-0.0157778160243497,-0.798516466569327,0.399164506351939,1852,3002,3073,"MAONZE","K007M","PresentElder","M","kanukanu","noa","nei","noa","noa","oa",5.58,5.72,"noa oa","noa","noa",TRUE,"yes",1,"no","M","M","K007M-05.trs",0.0511111111111111
"6",6,"oa","g_1009;em_12_95345;n_108276-n_108277;p_188;#=ew_69_229750;prefix=76297-;[0]=ew_0_624455",1.93989877643035,0.266624570990486,-0.594331138704163,-1.36687896169085,0.15556961792308,-0.203982350896499,169.91244817605,19.5482158549013,6.95736889657787,27.8838304206803,4.09589817619292,-4.49926256592836,0.337340986287393,-2.04582583119876,-2.36356985565987,0.343098041179888,1.85065160080962,11042,18556,18827,"MAONZE","R007M","PresentElder","F","oh","ahakoa","he~","ahakoa","ahakoa","oa",135.716,135.896,"ahakoa oa","ahakoa","ahakoa",TRUE,"no",3,"no","M","M","R007M-02.trs",0.0871428571428571
"7",7,"oa","g_1009;em_12_95346;n_108277-n_108278;p_188;#=ew_69_229751;prefix=76298-;[0]=ew_0_624458",3.06969213664757,-1.07083617533173,0.16097055502995,-2.68245508081588,1.15876468328715,0.397112576005031,139.410088128019,30.8834334700253,-1.57926328433029,27.3608208328787,8.26435045890359,-6.88626921045761,0.736238882907852,-3.0634979063404,-0.551631048236106,0.407638230444234,2.33172993667524,11043,18557,18828,"MAONZE","R007M","PresentElder","F","me","ahakoa","he","ahakoa","ahakoa","oa",137.831,138.041,"ahakoa oa","ahakoa","ahakoa",TRUE,"no",3,"no","M","M","R007M-02.trs",0.0658333333333327
"8",8,"oa","g_1009;em_12_95361;n_16678-n_108285;p_188;#=ew_69_229842;prefix=76341-;[0]=ew_0_624604",1.83487877078283,-2.75187317745487,-0.73900459627144,-0.775129391674214,0.75075337684995,-0.453992262304118,-48.8068793099155,3.97330856420387,1.79583610926939,-33.0853351551325,-0.921126415808001,-4.01331446601049,-0.726386738032571,0.0913471138422896,2.18243585198939,2.09706622859624,0.144994698573796,11050,18569,18840,"MAONZE","R007M","PresentElder","F","wheeraa","katoa - -","ka","katoa - -","katoa","oa",215.534,215.634,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","R007M-02.trs",0.0523529411764765
"9",9,"oa","g_1009;em_12_95363;n_108286-n_108287;p_188;#=ew_69_229863;prefix=76347-;[0]=ew_0_624616",2.08463751128503,1.16876011992299,-1.14349796224496,-2.40105489520546,-0.109062881767272,-0.0390115826204026,-50.1177391234669,1.82039747291904,-3.8169686782722,-7.03944239205427,2.48860620244464,-0.830429175784018,1.00217081398765,-0.671375824384421,-0.479171885646992,2.99418199246558,-1.00146633563408,11051,18571,18842,"MAONZE","R007M","PresentElder","F","haere","katoa","nga:","katoa","katoa","oa",221.568,221.798,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","R007M-02.trs",0.0521052631579012
"10",10,"oa","g_101;em_12_7030;n_36874-n_36875;p_41;#=ew_69_162862;prefix=13501-;[0]=ew_0_69160",-1.411335421104,-0.86986443146312,0.240640746600818,-1.03450290858058,0.274659227145022,0.00652881403662957,14.0938139206418,-3.01860856441162,0.531486261225269,2.37652492931634,-7.4206048109829,1.95541023052238,-0.859352703572519,0.928005427828232,0.191366344215604,-1.0419726971487,-0.722626845446416,1882,3059,3130,"MAONZE","K007M","PresentElder","M","noa","ahakoa","te","ahakoa","ahakoa","oa",12.05,12.14,"ahakoa oa","ahakoa","ahakoa",TRUE,"no",3,"no","M","M","K007M-06.trs",0.0500000000000001
"11",11,"oa","g_101;em_12_7033;n_36877-n_36878;p_41;#=ew_69_162877;prefix=13515-;[0]=ew_0_69195",2.05841839394802,-1.02402801794184,-0.747621970656766,-0.665168908441591,-0.000851624696735387,0.498756002275485,-81.6427535264029,-4.05629335416696,0.100877201489291,-10.0607788620065,-5.26780378481391,1.71462438227988,-0.0615569103324045,1.22399264185704,1.24140316112727,1.07493139560964,-0.976562481596032,1884,3063,3134,"MAONZE","K007M","PresentElder","M","aha","noa","he","noa","noa","oa",22.201,22.351,"noa oa","noa","noa",TRUE,"yes",1,"no","M","M","K007M-06.trs",0.0505882352941177
"12",12,"oa","g_101;em_12_7033;n_36877-n_36878;p_41;#=ew_69_162878;prefix=13516-;[0]=ew_0_69198",0.393872068767875,-0.559683619226086,-0.117424485824333,-0.842805855431756,-0.24827572218908,0.374723352358923,-116.213263295357,-3.03743484600693,-3.37078303150424,-23.8571776190517,-6.52780155557191,1.2104405672671,-0.327488841412443,1.77446790304174,1.49443913366071,1.20044919725552,-1.20394420865623,1885,3064,3135,"MAONZE","K007M","PresentElder","M","aha","noa","na","noa","noa","oa",22.651,22.781,"noa oa","noa","noa",TRUE,"yes",1,"no","M","M","K007M-06.trs",0.0512500000000001
"13",13,"oa","g_101;em_12_7047;n_36891-n_36892;p_41;#=ew_69_162944;prefix=13578-;[0]=ew_0_69424",0.72242187311018,-1.45193204283679,0.24456155816788,-0.403542563050585,0.407344107052416,0.0720303858027967,-39.306958574766,3.41113133167102,-3.82611074180309,5.00814303988869,-3.76522032528457,-0.114421752481756,1.26810274506783,-0.582721222050393,1.36813644159344,-0.704165741046771,-0.0738809223469183,1895,3082,3153,"MAONZE","K007M","PresentElder","M","whai","hoa","te","hoa","hoa","oa",112.345,112.595,"hoa oa","hoa","hoa",TRUE,"yes",1,"no","M","M","K007M-06.trs",0.0586666666666654
"14",14,"oa","g_101;em_12_7047;n_36891-n_36892;p_41;#=ew_69_162945;prefix=13579-;[0]=ew_0_69427",3.15735698688306,-0.52250979986462,0.244598146157152,-1.54188554834428,0.0330110260336484,0.0599164855360317,-86.5208043366023,-34.3593769077197,-1.06745876470821,-1.21860578144899,-1.79183081692137,0.196962484514054,1.13513677952793,-1.03345634219253,0.899356745543841,0.514721573491869,-1.58501434950197,1896,3083,3154,"MAONZE","K007M","PresentElder","M","katakata","noa","te","noa","noa","oa",113.615,113.855,"noa oa","noa","noa",TRUE,"yes",1,"no","M","M","K007M-06.trs",0.061176470588234
"15",15,"oa","g_101;em_12_7051;n_36895-n_36896;p_41;#=ew_69_162967;prefix=13599-;[0]=ew_0_69490",-0.946860058349607,-0.997178625615996,0.107473031532438,-0.247320203543647,0.160821948328953,0.130174811049504,-74.4395056214273,14.212130877797,-2.43243415728133,-3.49800793988922,-5.37235992995947,1.1025564829483,-0.06155691033231,0.98554207298922,1.17742812290287,-0.378411435770736,-0.131920930893942,1897,3089,3160,"MAONZE","K007M","PresentElder","M","h","hoa","tuarua","hoa","hoa","oa",135.12,135.27,"hoa oa","hoa","hoa",TRUE,"yes",1,"no","M","M","K007M-06.trs",0.0564285714285739
"16",16,"oa","g_1010;em_12_95444;n_108325-n_108326;p_188;#=ew_69_230236;prefix=76504-;[0]=ew_0_625131",2.2961549221474,0.771104929869919,-0.112917191092377,0.608958658149786,-0.340510926787668,-0.0911870519187258,26.1058925204662,24.0748404707901,3.28167900028584,23.338994308313,4.50202066758926,-1.31712092117166,0.869204848447752,-1.46771428303037,-1.36804251743743,-0.250835726320845,1.39042721527302,11080,18619,18890,"MAONZE","R007M","PresentElder","F","he","moa","he","moa","moa","oa",210.904,211.124,"moa oa","moa","moa",TRUE,"yes",1,"no","M","M","R007M-03.trs",0.0649999999999977
"17",17,"oa","g_1011;em_12_95454;n_108329-n_108330;p_188;#=ew_69_229513;prefix=76515-;[0]=ew_0_1281582",0.0521216467833199,-0.504957483567265,0.106307079462733,0.382526605927441,-0.11464732596349,-0.17139386411896,-11.7052374556783,9.03640116663367,-9.0129590648383,21.8869858032355,0.180477568502218,1.01078277994863,1.00217081398778,-0.745885554108006,-0.208876701526826,-1.434292888833,-0.0547070315179225,11082,18623,18894,"MAONZE","R007M","PresentElder","F","taku","hoa","me","hoa","hoa","oa",4.219,4.449,"hoa oa","hoa","hoa",TRUE,"yes",1,"no","M","M","R007M-04.trs",0.0662500000000004
"18",18,"oa","g_1012;em_12_95527;n_108366-n_108367;p_188;#=ew_69_229858;prefix=76603-;[0]=ew_0_625640",1.19707244843627,-2.14510644235895,-0.0934579100181319,0.543056885915719,0.268178448932514,-0.237603955882655,89.5980404640658,8.17372512582019,-5.19882985529645,20.609570193444,7.82023167503236,-3.59946657385983,1.66700064168791,-2.25608549370851,0.169704059516753,-0.865392237877949,1.52596837979895,11091,18644,18915,"MAONZE","R007M","PresentElder","F","aku","hoa .","ka","hoa .","hoa","oa",10.681,10.961,"hoa oa","hoa","hoa",TRUE,"yes",1,"no","M","M","R007M-05.trs",0.114285714285714
"19",19,"oa","g_1012;em_12_95533;n_16764-n_6650383;p_188;#=ew_69_229920;prefix=76618-;[0]=ew_0_625697",-3.092670758458,-1.22915696166925,-0.610905128803807,1.93272620801666,-0.636644343339806,-0.20143763680405,37.3275248790018,1.93497390178019,-4.63283129281707,5.5151725200432,-1.45034595555549,0.734755727019445,-0.593420772492481,1.79929411723803,-0.415317685562639,-1.15722644576948,0.457752152368958,11094,18649,18920,"MAONZE","R007M","PresentElder","F","ngaa","hoa","kua","hoa","hoa","oa",32.378,32.488,"hoa oa","hoa","hoa",TRUE,"yes",1,"no","M","M","R007M-05.trs",0.0681818181818191
"20",20,"oa","g_1012;em_12_95569;n_16780-n_108391;p_188;#=ew_69_230071;prefix=76672-;[0]=ew_0_625931",0.917527697270741,-0.053516614382801,-0.632956101142175,0.602775903883717,-0.332796193877103,-0.232453328098052,-46.2185515264143,-14.1740283150875,-16.8334853907589,-8.96697437832338,-9.50695756083726,2.1381568924921,3.39555819370814,-0.219141850864183,1.20160116269508,0.125022056280704,-1.94062195183336,11101,18659,18930,"MAONZE","R007M","PresentElder","F","taku","hoa","haere","hoa","hoa","oa",143.079,143.489,"hoa oa","hoa","hoa",TRUE,"yes",1,"no","M","M","R007M-05.trs",0.0425000000000004
"21",21,"oa","g_1012;em_12_95570;n_108391-n_108392;p_188;#=ew_69_230090;prefix=76679-;[0]=ew_0_625944",-1.00102960156404,0.266890077915492,-0.533972367792646,0.721968300778445,-0.374562032262166,0.0490839706553942,-39.2686907476101,-17.8738488912299,1.07412199593628,8.96146791771963,-9.31295967129268,-3.30137952704628,3.26259222816824,0.148093262544295,0.403959142627548,0.0090216520210564,0.781587999995958,11105,18663,18934,"MAONZE","R007M","PresentElder","F","aahua","roa","rawa","roa","roa","oa",148.516,148.916,"roa oa","roa","roa",TRUE,"yes",1,"no","M","M","R007M-05.trs",0.0537499999999973
"22",22,"oa","g_1012;em_12_95578;n_108397-n_108398;p_188;#=ew_69_230133;prefix=76694-;[0]=ew_0_626001",-0.0224682205308735,0.297583925577709,-0.394773243174456,-1.07200416498191,-0.780953733356551,0.0234937354377579,47.506463072903,-8.64458744572858,0.684714822705553,25.5089627465488,-1.44118513317577,-1.64086329939082,-1.12528463465227,0.55829650373526,-2.29905993845029,-0.370793246156268,0.19516696170984,11107,18666,18937,"MAONZE","R007M","PresentElder","F","haerengaa","katoa","taua","katoa","katoa","oa",181.182,181.252,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","R007M-05.trs",0.0675000000000026
"23",23,"oa","g_1012;em_12_95586;n_108405-n_108406;p_188;#=ew_69_230201;prefix=76724-;[0]=ew_0_626092",1.27886838641529,1.82689714532096,-1.30035146016584,-2.11525891177575,-0.849039670505236,-0.414750196021791,188.948752154257,70.5905878086523,-28.4216910628088,2.30424762097342,12.0458829421405,-2.81701706072346,-0.32748884141249,-1.35721835887412,-3.44001459189959,2.67612985676616,0.203308369658826,11111,18677,18948,"MAONZE","R007M","PresentElder","F","ere","whoatu","ma:","whoatu","whoatu","oa",221.595,221.725,"whoatu oa","whoatu","foatu",FALSE,"yes",1,"no","M","M","R007M-05.trs",0.0460000000000008
"24",24,"oa","g_1012;em_12_95593;n_16786-n_108409;p_188;#=ew_69_230226;prefix=76735-;[0]=ew_0_626154",1.64896416593706,3.39080188548802,-1.25501103238896,-1.71910783188877,-0.420967941616004,-0.443245677251647,197.179467478812,3.80386901364509,-19.1119864908164,5.06988296023513,8.18200943306711,2.10724482506567,-0.06155691033231,-1.353368751054,-3.87365526658321,1.9189828082134,-2.02401552894817,11117,18684,18955,"MAONZE","R007M","PresentElder","F","me","whoatu","mo:","whoatu","whoatu","oa",242.263,242.413,"whoatu oa","whoatu","foatu",FALSE,"yes",1,"no","M","M","R007M-05.trs",0.0740000000000066
"25",25,"oa","g_1013;em_12_95630;n_108442-n_108443;p_188;#=ew_69_229884;prefix=76797-;[0]=ew_0_626476",-3.25471794851296,1.09102671726475,0.438769908729718,-0.277253920489964,-0.0885115798308736,-0.0903957145850881,77.515969774099,-25.044822709652,17.689156378056,0.0725942111513724,6.02315873170134,1.69368782891051,1.26810274506783,-0.661188373391325,-0.783054342801635,0.0791317944387598,0.412681323272363,11123,18699,18970,"MAONZE","R007M","PresentElder","F","pooraruraru","katoa","ta:","katoa","katoa","oa",136.213,136.463,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","R007M-06.trs",0.0630769230769247
"26",26,"oa","g_1013;em_12_95670;n_16813-n_16814;p_188;#=ew_69_230061;prefix=76838-;[0]=ew_0_626687",-0.256056549989682,2.18694606326014,0.584282726242343,0.0714825757221075,-0.677573414179317,-0.202972433239925,22.427402733984,8.40626723645462,0.926018711317111,5.2527670679714,3.68927327576787,-0.898174906384313,-0.194522875872589,-0.400228763567463,-1.89553215161763,0.0899283399081253,0.509947500812719,11130,18708,18979,"MAONZE","R007M","PresentElder","F","mate","katoa","nga:","katoa","katoa","oa",250.953,251.093,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","R007M-06.trs",0.0862500000000033
"27",27,"oa","g_1014;em_12_95689;n_16825-n_108466;p_188;#=ew_69_229643;prefix=76857-;[0]=ew_0_626790",-1.35512421285366,0.164514054282573,0.251398323749256,0.194044905233961,-0.255449638177105,0.0535059396974464,-51.8675005871032,-1.43949686656647,-4.42134049637321,-10.8415667624387,-5.140880520734,1.23796208660551,0.0714090552076854,1.21149906279987,0.533313304170401,-0.141366756462089,-0.618160886202333,11135,18714,18985,"MAONZE","R007M","PresentElder","F","aa","roa","tonu","roa","roa","oa",53.827,53.987,"roa oa","roa","roa",TRUE,"yes",1,"no","M","M","R007M-07.trs",0.0766666666666672
"28",28,"oa","g_1015;em_12_95791;n_16905-n_16906;p_188;#=ew_69_230543;prefix=76972-;[0]=ew_0_627405",-2.99774318220632,0.511151534969279,-0.876707256643384,-2.49614311771553,1.96670690399695,0.327493832337772,-43.8364895981303,2.84127742977993,7.08248562546309,-27.0142578953192,-4.23330865472979,0.281655308376344,-1.25825060019255,1.71107595545908,1.43971887396742,2.46123286371296,-0.407115843145336,11151,18741,19012,"MAONZE","R007M","PresentElder","F","ahuatanga","ka:toa","","ka:toa","ka:toa","oa",195.501,195.561,"ka:toa oa","ka:toa","kAtoa",TRUE,"no",3,"no","M","M","R007M-08.trs",0.101249999999997
"29",29,"oa","g_1016;em_12_163673;n_6670641-n_6670648;p_188;#=ew_69_230610;prefix=77046-;[0]=ew_0_1281840",-2.71145026163416,0.379926230226225,0.516896211458835,-1.7569494226319,-0.0923415405470354,-0.395025315429082,66.6603131634789,-1.74925570789918,-7.93784507616057,8.35108491435011,-3.12161036493214,1.84842173646046,1.66700064168791,-0.964808114675284,-0.619405294702929,-0.910156241513408,-1.05017670527368,11163,18757,19028,"MAONZE","R007M","PresentElder","F","taku","hoa","ki","hoa","hoa","oa",202.217,202.497,"hoa oa","hoa","hoa",TRUE,"yes",1,"no","M","M","R007M-09.trs",0.082000000000005
"30",30,"oa","g_1016;em_12_95845;n_16958-n_16959;p_188;#=ew_69_230603;prefix=77040-;[0]=ew_0_627798",-1.08272354428912,-0.443885005450745,-0.165969591182427,-0.353082290990973,0.269032854412198,0.157510775740218,-77.7413807388801,23.2758162121677,0.42609398519621,-19.9639113923045,6.6435813941149,-2.985000820038,1.13513677952793,-0.10788812969769,1.56412784376303,2.09162955011982,1.28170084669429,11161,18754,19025,"MAONZE","R007M","PresentElder","F","he","katoa","","katoa","katoa","oa",190.857,191.097,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","R007M-09.trs",0.0815384615384617
"31",31,"oa","g_1017;em_12_95889;n_16996-n_16997;p_188;#=ew_69_230677;prefix=77111-;[0]=ew_0_628183",-2.50867275304672,-0.186551732179345,-0.0656826771255987,1.66317825721211,-0.284221499047158,-0.0189537045687465,2.94716722910948,-1.68261449668187,-1.29078778522169,2.99371647087704,-4.09711941423837,-0.806510640139299,-0.726386738032571,1.75019377749753,-0.293475870662706,-1.04272141441069,0.747523097638567,11173,18776,19047,"MAONZE","R007M","PresentElder","F","","hoa","mate","hoa","hoa","oa",140.511,140.611,"hoa oa","hoa","hoa",TRUE,"yes",1,"no","M","M","R007M-10.trs",0.0700000000000003
"32",32,"oa","g_1017;em_12_95889;n_16996-n_16997;p_188;#=ew_69_230678;prefix=77112-;[0]=ew_0_628186",-2.72455575440971,0.389470659448447,-0.14153533366069,-0.715564460552823,-0.411660045010904,0.0216185448882942,-40.9430503447866,9.94223865869474,-0.64560790173723,-10.1953346650609,-0.13187908911779,1.90163043999708,-0.992318669112373,1.61262425717652,-0.259666082902847,0.690805148773276,-0.448062336597292,11174,18777,19048,"MAONZE","R007M","PresentElder","F","mate","katoa","te","katoa","katoa","oa",141.451,141.531,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","R007M-10.trs",0.0700000000000003
"33",33,"oa","g_1017;em_12_95909;n_17016-n_6670797;p_188;#=ew_69_230699;prefix=77132-;[0]=ew_0_628302",-0.991968011195573,0.557599038434862,0.306450279551065,1.10931342159805,-0.293204023283491,-0.343278012371758,-1.41451504944733,5.57369343337103,-3.3019675839283,8.15490330798156,-4.15154921575137,1.55867229926704,0.470306951827672,0.145978173657803,-0.52423733069193,-1.37374695049804,-0.109105590258351,11176,18780,19051,"MAONZE","R007M","PresentElder","F","taku","hoa","ko","hoa","hoa","oa",203.562,203.752,"hoa oa","hoa","hoa",TRUE,"yes",1,"no","M","M","R007M-10.trs",0.0960000000000036
"34",34,"oa","g_1018;em_12_163647;n_6670279-n_17042;p_188;#=ew_69_230437;prefix=77227-;[0]=ew_0_1281811",-2.62333782306229,0.488010688609114,0.191195811417978,-0.560619544690368,-1.52518699851006,0.371062725870279,-1.86963080242865,19.3717387404676,-4.44595991669504,3.53800504806553,1.08668035907052,-0.88364196815799,-0.32748884141249,1.57180367872677,-1.2618377242492,0.29311302305414,0.681004144532146,11195,18808,19079,"MAONZE","R007M","PresentElder","F","pai","noa .","ta:ua","noa .","noa","oa",90.421,90.551,"noa oa","noa","noa",TRUE,"yes",1,"no","M","M","R007M-11.trs",0.0812499999999989
"35",35,"oa","g_1018;em_12_95921;n_17025-n_17026;p_188;#=ew_69_230385;prefix=77181-;[0]=ew_0_628456",-1.289349314937,0.0592773482625761,-0.406589910148592,0.241016981258582,-0.638749866757157,0.296159603776601,-29.4539348242842,22.9085480948084,-0.587115306351449,-0.759201788238159,0.517005265221269,1.8888159324631,-0.593420772492481,1.53871083765683,-0.318417698365426,0.374714786699602,0.260647037261137,11183,18793,19064,"MAONZE","R007M","PresentElder","F","mea","katoa","","katoa","katoa","oa",6.219,6.329,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","R007M-11.trs",0.0985714285714284
"36",36,"oa","g_1018;em_12_95942;n_17043-n_17044;p_188;#=ew_69_230442;prefix=77231-;[0]=ew_0_628630",-2.93178940590268,-0.322099882351328,0.491501662452137,-1.12017869783978,-0.290474451554124,-0.293914296155902,-20.5118607960574,-7.04640753596405,-6.09925794377437,-8.55235036900088,-7.58071892120161,2.32319531319816,-0.1945228758724,1.07339813134027,0.228158059587754,-0.717714733200275,-1.44300246718924,11197,18810,19081,"MAONZE","R007M","PresentElder","F","porangi","noa","te","noa","noa","oa",100.176,100.316,"noa oa","noa","noa",TRUE,"yes",1,"no","M","M","R007M-11.trs",0.0787499999999977
"37",37,"oa","g_1018;em_12_95952;n_17053-n_6670284;p_188;#=ew_69_230454;prefix=77243-;[0]=ew_0_628692",-2.66267366258207,0.343750657341804,-0.0700470663492196,-0.524226908304462,0.683493582246562,0.0417970464394182,-37.4274008072161,-10.8130225237485,7.45280239071833,-10.9741758331136,6.5925118492169,2.0546899239475,-0.32748884141249,0.396865751761119,0.569421729502467,0.932974340163216,-0.21305501227365,11198,18812,19083,"MAONZE","R007M","PresentElder","F","ahi","katoa .","haere","katoa .","katoa","oa",128.754,128.884,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","R007M-11.trs",0.110769230769227
"38",38,"oa","g_1019;em_12_95959;n_17060-n_17061;p_188;#=ew_69_230256;prefix=77260-;[0]=ew_0_628743",2.94368502259849,-0.682432861584148,-0.280174380854346,-1.70479149542511,0.670016335354032,-0.147299020581981,-23.0729746017177,-2.96180846973889,-2.60262297666452,10.2004147416755,-1.25806216092064,-2.02254572046849,0.204375020747663,-1.29685150547844,0.163388205825047,0.417362730789834,-0.352005817417121,11203,18818,19089,"MAONZE","R007M","PresentElder","F","taku","hoa","haere","hoa","hoa","oa",3.07,3.24,"hoa oa","hoa","hoa",TRUE,"yes",1,"no","M","M","R007M-12.trs",0.0739999999999995
"39",39,"oa","g_1020;em_12_163664;n_6670056-n_6670062;p_188;#=ew_69_230319;prefix=77371-;[0]=ew_0_1281689",3.26502671701047,1.55693422246306,-0.1383475022109,0.249352408389533,-0.0836146785052976,-0.0949868938845133,-223.698369297594,-1.33072736176237,-6.17327318498021,4.87762435107869,-1.98867519638321,0.273047085131294,1.13513677952793,-0.467807195559391,0.525381531498566,0.798802974457815,-0.886126440173979,11219,18844,19115,"MAONZE","R007M","PresentElder","F","te","nohoanga","o","nohoanga","nohoanga","oa",124.499,124.739,"nohoanga oa","nohoanga","nohoaNa",FALSE,"no",2,"yes","M","M","R007M-13.trs",0.123529411764706
"40",40,"oa","g_1020;em_12_96019;n_108503-n_108504;p_188;#=ew_69_230299;prefix=77361-;[0]=ew_0_1281878",-0.522050811775072,-0.161240305316336,0.280303923600161,-0.348428290394996,0.518040970393369,-0.0575061367923471,-174.732615674714,-54.3601604117754,-3.2240117587456,-3.78630404640256,-2.56211351277316,1.54220254653939,0.736238882907663,0.301522585560141,1.63054503841778,-0.142269967975529,-1.94874945446129,11215,18840,19111,"MAONZE","R007M","PresentElder","F","oh","pi:pi:wharauroa","te","pi:pi:wharauroa","pi:pi:wharauroa","oa",91.552,91.762,"pi:pi:wharauroa oa","pi:pi:wharauroa","pIpIfarauroa",TRUE,"no",8,"no","M","M","R007M-13.trs",0.104736842105262
"41",41,"oa","g_1020;em_12_96021;n_108504-n_108506;p_188;#=ew_69_230309;prefix=77366-;[0]=ew_0_629259",-1.01193502887222,-0.442460084210481,-0.00247140595967396,0.150363478435719,-0.0976794520588638,0.185761396442491,-87.8812737234072,2.98183958222226,-18.4445722521681,-24.7529351474076,-2.32288807167532,1.90524244293822,1.9329325727679,0.672911540155709,2.10271381019227,0.769660882301928,-1.40107203574973,11217,18842,19113,"MAONZE","R007M","PresentElder","F","te","pi:pi:wharauroa","ki","pi:pi:wharauroa","pi:pi:wharauroa","oa",101.836,102.136,"pi:pi:wharauroa oa","pi:pi:wharauroa","pIpIfarauroa",TRUE,"no",8,"no","M","M","R007M-13.trs",0.091363636363634
"42",42,"oa","g_1020;em_12_96023;n_108507-n_6670056;p_188;#=ew_69_230317;prefix=77370-;[0]=ew_0_1282077",-0.33420610923052,0.0451888230573046,-0.139879739813539,-0.219864167498743,-0.154986524102397,-0.0944188526608169,-100.554253270291,-17.3705842058109,9.5353863065174,-19.5861443021339,5.25910997504276,2.93251499708598,0.470306951827672,0.166450957126807,0.96527008838414,1.49544466540184,-0.899670862705524,11218,18843,19114,"MAONZE","R007M","PresentElder","F","te","pi:pi:wharauroa .","ki","pi:pi:wharauroa . ","pi:pi:wharauroa","oa",119.811,120.001,"pi:pi:wharauroa oa","pi:pi:wharauroa","pIpIfarauroa",TRUE,"no",8,"no","M","M","R007M-13.trs",0.113636363636363
